,temp_error,psal_error,minT,maxT,minS,maxS,min_Nprof,pmax,pmax_fluo,is_lon_centre_180,deployment_code,is_lon_center_180
,0.1,0.2,-3,32,4,40,30,NaN,NaN,,BM01,NaN
,0.1,0.2,-3,32,4,40,30,NaN,NaN,,BM02,NaN
,0.1,0.2,-3,32,4,40,30,NaN,NaN,,BM03,NaN
,0.1,0.2,-3,32,4,40,30,NaN,NaN,,DL02,NaN
,0.1,0.2,-3,32,4,40,30,NaN,NaN,,MY01,NaN
,0.2,0.2,-3,32,4,40,30,NaN,NaN,,awru1,NaN
,0.1,0.2,-3,32,4,40,30,NaN,NaN,,bs1,NaN
,0.1,0.2,-3,32,4,40,30,NaN,NaN,,bs2,NaN
,0.1,0.1,-3,32,4,40,30,NaN,NaN,,bv3,NaN
,0.2,0.2,-3,32,4,40,30,NaN,NaN,,ct1,NaN
,0.1,0.2,-2.5,20,25,40,30,NaN,NaN,,ct10,NaN
,0.1,0.1,-3,32,4,40,30,NaN,NaN,,ct100,NaN
,0.1,0.2,-3,32,4,40,30,500,200,,ct101,0
,0.05,0.05,-3,32,4,40,30,NaN,NaN,,ct102,NaN
,0.1,0.2,-3,32,4,40,30,NaN,NaN,,ct103,NaN
,0.05,0.05,-3,32,4,40,30,NaN,NaN,,ct104,NaN
,0.05,0.05,-3,32,4,40,30,NaN,NaN,,ct105,NaN
,0.1,0.1,-3,32,4,40,30,400,200,,ct106,0
,0.05,0.05,-3,32,4,40,30,NaN,NaN,,ct107,NaN
,0.05,0.05,-3,32,4,40,30,NaN,NaN,,ct108,NaN
,0.05,0.05,-3,32,4,40,30,NaN,NaN,,ct109,NaN
,0.2,0.2,-3,32,4,40,30,NaN,NaN,,ct11,NaN
,0.1,0.2,-3,32,4,40,30,500,200,,ct110,0
,0.05,0.2,-3,32,4,40,30,NaN,NaN,,ct111,NaN
,0.05,0.05,-3,32,4,40,30,NaN,NaN,,ct112,NaN
,0.03,0.1,-3,32,4,40,30,NaN,NaN,,ct113,NaN
,0.05,0.1,-3,32,4,40,30,NaN,NaN,,ct114,NaN
