deployment_code,pi_code,process,public,country,first_version,last_version,start_date,end_date,start_date_jul
wd04,HINDELL,1,1,AUSTRALIA,MEOP-CTD_2016-07-12,MEOP-CTD_2020-01-02,03/26/0011,10/08/0011,4103
awru1,HINDELL,1,1,AUSTRALIA,MEOP-CTD_2015-05-31,MEOP-CTD_2020-01-02,02/12/0007,10/03/0007,2600
ct149,HINDELL,1,1,AUSTRALIA,MEOP-CTD_2020-01-02,MEOP-CTD_2020-01-02,12/20/0018,NaT,6929
ct2,HINDELL,1,1,AUSTRALIA,MEOP-CTD_2015-05-31,MEOP-CTD_2020-01-02,01/20/0004,08/01/0004,1481
ct36,HINDELL,1,1,AUSTRALIA,MEOP-CTD_2015-05-31,MEOP-CTD_2020-01-02,12/26/0008,03/01/0009,3283
ct38w,HINDELL,1,1,AUSTRALIA,MEOP-CTD_2015-05-31,MEOP-CTD_2020-01-02,02/21/0008,01/01/0009,2974
ct47,HINDELL,1,1,AUSTRALIA,MEOP-CTD_2015-05-31,MEOP-CTD_2020-01-02,02/08/0009,08/01/0009,3327
ct6,HINDELL,1,1,AUSTRALIA,MEOP-CTD_2015-05-31,MEOP-CTD_2020-01-02,01/01/0005,11/29/0005,1828
ct75,HINDELL,1,1,AUSTRALIA,MEOP-CTD_2015-05-31,MEOP-CTD_2020-01-02,10/02/0011,01/01/0013,4293
ft24,HINDELL,1,1,AUSTRALIA,MEOP-CTD_2020-01-02,MEOP-CTD_2020-01-02,12/20/0018,NaT,6929
wd1,HINDELL,1,1,AUSTRALIA,MEOP-CTD_2015-05-31,MEOP-CTD_2020-01-02,02/14/0006,11/01/0006,2237
wd3,HINDELL,1,1,AUSTRALIA,MEOP-CTD_2015-07-01,MEOP-CTD_2020-01-02,02/20/0007,06/01/0007,2608
ct119,IMOS,1,1,AUSTRALIA,MEOP-CTD_2017-11-11,MEOP-CTD_2020-01-02,01/16/0016,NaT,5860
ct122,IMOS,1,1,AUSTRALIA,MEOP-CTD_2017-11-11,MEOP-CTD_2020-01-02,01/01/0016,12/01/0016,5845
ct128,IMOS,1,1,AUSTRALIA,MEOP-CTD_2017-11-11,MEOP-CTD_2020-01-02,11/15/0017,NaT,6529
ct128a,IMOS,1,1,AUSTRALIA,MEOP-CTD_2018-04-10,MEOP-CTD_2020-01-02,03/02/0017,08/01/0017,6271
ct134,IMOS,1,1,AUSTRALIA,MEOP-CTD_2017-11-11,MEOP-CTD_2020-01-02,02/15/0017,02/01/0017,6256
ct135,IMOS,1,1,AUSTRALIA,MEOP-CTD_2017-11-11,MEOP-CTD_2020-01-02,01/10/0017,06/01/0017,6220
ct140,IMOS,1,1,AUSTRALIA,MEOP-CTD_2020-01-02,MEOP-CTD_2020-01-02,11/20/0017,NaT,6534
ct144,IMOS,1,1,AUSTRALIA,MEOP-CTD_2020-01-02,MEOP-CTD_2020-01-02,10/10/0018,NaT,6858
ct148,IMOS,1,1,AUSTRALIA,MEOP-CTD_2020-01-02,MEOP-CTD_2020-01-02,12/20/0018,NaT,6929
ct150,IMOS,1,1,AUSTRALIA,MEOP-CTD_2020-01-02,MEOP-CTD_2020-01-02,11/20/0018,NaT,6899
kp01,IMOS,1,0,AUSTRALIA,MEOP-CTD_2017-11-11,MEOP-CTD_2018-04-10,03/15/0017,05/15/0017,6284
ct100,IMOS,1,1,AUSTRALIA,MEOP-CTD_2015-05-31,MEOP-CTD_2020-01-02,02/21/0013,11/30/0014,4801
ct101,IMOS,1,1,AUSTRALIA,MEOP-CTD_2017-11-11,MEOP-CTD_2020-01-02,05/22/0013,08/01/0014,4891
ct108,IMOS,1,1,AUSTRALIA,MEOP-CTD_2015-05-31,MEOP-CTD_2020-01-02,07/15/0014,12/31/0014,5310
ct109,IMOS,1,1,AUSTRALIA,MEOP-CTD_2015-05-31,MEOP-CTD_2020-01-02,12/06/0014,02/03/0016,5454
ct110,IMOS,1,1,AUSTRALIA,MEOP-CTD_2017-11-11,MEOP-CTD_2020-01-02,07/31/0014,04/01/0015,5326
ct111,IMOS,1,1,AUSTRALIA,MEOP-CTD_2015-05-31,MEOP-CTD_2020-01-02,10/20/0014,NaT,5407
ct116,IMOS,1,1,AUSTRALIA,MEOP-CTD_2017-11-11,MEOP-CTD_2020-01-02,01/10/0016,07/01/0016,5854
ct64,IMOS,1,1,AUSTRALIA,MEOP-CTD_2015-05-31,MEOP-CTD_2020-01-02,01/01/0010,12/01/0010,3654
ct77,IMOS,1,1,AUSTRALIA,MEOP-CTD_2015-05-31,MEOP-CTD_2020-01-02,01/01/0012,11/01/0012,4384
ct78,IMOS,1,1,AUSTRALIA,MEOP-CTD_2015-05-31,MEOP-CTD_2020-01-02,01/01/0012,11/01/0012,4384
ct78d,IMOS,1,1,AUSTRALIA,MEOP-CTD_2017-11-11,MEOP-CTD_2020-01-02,02/22/0011,03/01/0012,4071
ct79,IMOS,1,1,AUSTRALIA,MEOP-CTD_2015-05-31,MEOP-CTD_2020-01-02,01/25/0012,12/01/0012,4408
ct85,IMOS,1,1,AUSTRALIA,MEOP-CTD_2015-05-31,MEOP-CTD_2020-01-02,01/27/0014,12/04/0014,5141
ct91,IMOS,1,1,AUSTRALIA,MEOP-CTD_2017-11-11,MEOP-CTD_2020-01-02,06/11/0012,01/01/0013,4546
ct96,IMOS,1,1,AUSTRALIA,MEOP-CTD_2015-05-31,MEOP-CTD_2020-01-02,02/05/0013,02/01/0014,4785
ct98,IMOS,1,1,AUSTRALIA,MEOP-CTD_2015-05-31,MEOP-CTD_2020-01-02,12/25/0013,12/31/0014,5108
ct123,SARDI,1,1,AUSTRALIA,MEOP-CTD_2017-11-11,MEOP-CTD_2020-01-02,12/05/0015,NaT,5818
ct136,SARDI,1,1,AUSTRALIA,MEOP-CTD_2017-11-11,MEOP-CTD_2020-01-02,02/20/0017,NaT,6261
ct142,SARDI,1,1,AUSTRALIA,MEOP-CTD_2020-01-02,MEOP-CTD_2020-01-02,12/04/0017,NaT,6548
ct106,SARDI,1,1,AUSTRALIA,MEOP-CTD_2017-11-11,MEOP-CTD_2020-01-02,11/22/0013,02/03/0016,5075
ct115,SARDI,1,1,AUSTRALIA,MEOP-CTD_2017-11-11,MEOP-CTD_2020-01-02,12/08/0014,06/01/0015,5456
ct31,SARDI,1,1,AUSTRALIA,MEOP-CTD_2017-11-11,MEOP-CTD_2020-01-02,04/01/0007,07/01/0007,2648
ct61,SARDI,1,1,AUSTRALIA,MEOP-CTD_2017-11-11,MEOP-CTD_2020-01-02,12/09/0009,06/14/0010,3631
ct76,SARDI,1,1,AUSTRALIA,MEOP-CTD_2017-11-11,MEOP-CTD_2020-01-02,02/06/0011,06/01/0011,4055
ct86,SARDI,1,1,AUSTRALIA,MEOP-CTD_2017-11-11,MEOP-CTD_2020-01-02,12/01/0011,03/01/0012,4353
ft13,SARDI,1,1,AUSTRALIA,MEOP-CTD_2017-11-11,MEOP-CTD_2020-01-02,04/03/0013,05/28/0013,4842
ft19,SARDI,1,1,AUSTRALIA,MEOP-CTD_2017-11-11,MEOP-CTD_2020-01-02,12/08/0014,06/01/0015,5456
ct124,MUELBERT,1,0,BRAZIL,MEOP-CTD_2017-11-11,MEOP-CTD_2018-04-10,12/01/0015,NaT,5814
ct22,MUELBERT,1,1,BRAZIL,MEOP-CTD_2015-05-31,MEOP-CTD_2020-01-02,11/01/0008,04/01/0012,3228
ct39,MUELBERT,1,1,BRAZIL,MEOP-CTD_2015-05-31,MEOP-CTD_2020-01-02,01/20/0008,12/01/0008,2942
ct46,MUELBERT,1,1,BRAZIL,MEOP-CTD_2015-05-31,MEOP-CTD_2020-01-02,01/01/0009,06/01/0009,3289
ct56,MUELBERT,1,1,BRAZIL,MEOP-CTD_2015-05-31,MEOP-CTD_2020-01-02,11/19/0009,06/01/0010,3611
tu78,RIO,0,0,BRAZIL,,,01/07/0013,11/30/0014,4756
hd08,DFO Mont-Joli,0,0,CANADA,,,03/07/0018,NaT,6641
DL02,DFO Quebec,1,0,CANADA,MEOP-CTD_2017-11-11,MEOP-CTD_2018-04-10,10/01/0018,NaT,6849
ct55,HAMMILL,1,1,CANADA,MEOP-CTD_2015-05-31,MEOP-CTD_2020-01-02,03/21/0010,07/01/0010,3733
