DEPLOYMENT_CODE,DONE1,DONE2,DONE3
kp01,9,0,0
ct157,9,0,0
ct3,9,0,0
ct97,9,0,0
ct158,9,0,0
ft25,9,0,0
bv3,9,0,0
ct126,9,0,0
ct15,9,0,0
ft28,9,0,0
wd2,9,0,0
wd11,1,1,0
wd04,1,1,0
awru1,1,1,0
ct149,1,1,0
ct2,1,1,0
ct36,1,1,0
ct38w,1,1,0
ct47,1,1,0
ct6,1,1,0
ct75,1,1,0
ft24,1,1,0
wd1,1,1,0
wd3,1,1,0
ct119,1,1,0
ct122,1,1,0
ct128,1,1,0
ct128a,1,1,0
ct134,1,1,0
ct135,1,1,0
ct140,1,1,0
ct144,1,1,0
ct148,1,1,0
ct150,1,1,0
ct100,1,1,0
ct101,1,1,0
ct108,1,1,0
ct109,1,1,0
ct110,1,1,0
ct111,1,1,0
ct116,1,1,0
ct64,1,1,0
ct77,1,1,0
ct78,1,1,0
ct78d,1,1,0
ct79,1,1,0
ct85,1,1,0
ct91,1,1,0
ct96,1,1,0
ct98,1,1,0
ct123,1,1,0
ct136,1,1,0
ct142,1,1,0
ct106,1,1,0
ct115,1,1,0
ct31,1,1,0
ct61,1,1,0
ct76,1,1,0
ct86,1,1,0
ft13,1,1,0
ft19,1,1,0
ct156,1,1,0
ct160,1,1,0
ct164,1,1,0
tu116,1,1,0
ct124,1,1,0
ct22,1,1,0
ct39,1,1,0
ct46,1,1,0
ct56,1,1,0
DL02,1,1,0
ct55,1,1,0
hd2bb,1,1,0
hd2f,1,1,0
hd2g,1,1,0
hd3,1,1,0
hd5bb,1,1,0
hd6,1,1,0
hg19,1,1,0
hg4,1,1,0
hg9,1,1,0
hp2,1,1,0
rs11,1,1,0
rs18,1,1,0
rs28,1,1,0
rs6,1,1,0
rs9,1,1,0
pv52,1,1,0
ct20,1,1,0
vc03,1,1,0
vc04,1,1,0
ct18,1,1,0
hd09,1,1,0
hg63,1,1,0
ct121,1,1,0
ct133,1,1,0
ct105,1,1,0
MY01,1,1,0
wd09,1,1,0
wd10,1,1,0
ct120,1,1,0
ct132,1,1,0
ct139,1,1,0
ft14,1,1,0
ft22,1,1,0
ft23,1,1,0
ct11,1,1,0
ct112,1,1,0
ct117,1,1,0
ct131,1,1,0
ct16,1,1,0
ct23,1,1,0
ct23x,1,1,0
ct26,1,1,0
ct38e,1,1,0
ct62,1,1,0
ct7,1,1,0
ct82,1,1,0
ct84,1,1,0
ct95,1,1,0
ft01,1,1,0
ft02,1,1,0
ft03,1,1,0
ft04,1,1,0
ft06,1,1,0
ft07,1,1,0
ft10,1,1,0
ft11,1,1,0
ft12,1,1,0
ft18,1,1,0
ft15,1,1,0
ft17,1,1,0
wd12,1,1,0
wd13,1,1,0
ct152,1,1,0
ct154,1,1,0
ct155,1,1,0
ct159,1,1,0
ct161,1,1,0
ct162,1,1,0
ct163,1,1,0
wd15,1,1,0
ct168,1,1,0
tu115,1,1,0
ct165,1,1,0
ct166,1,1,0
wd19,1,1,0
wd20,1,1,0
tu114,1,1,0
ct113,1,1,0
ct21,1,1,0
ct35,1,1,0
ct35b,1,1,0
ct44,1,1,0
ct68,1,1,0
ct87,1,1,0
ct99,1,1,0
wd06,1,1,0
wd07,1,1,0
ct102,1,1,0
ct54,1,1,0
wd14,1,1,0
wd16,1,1,0
wd17,1,1,0
wd18,1,1,0
rs32,1,1,0
ct146,1,1,0
ft20,1,1,0
ct80,1,1,0
hg37,1,1,0
hg37g,1,1,0
hg42,1,1,0
ct138,1,1,0
ct141,1,1,0
ct103,1,1,0
ct130,1,1,0
ct32,1,1,0
ct32x,1,1,0
ct34,1,1,0
ct52,1,1,0
ct69,1,1,0
ct81,1,1,0
ct92,1,1,0
ct93,1,1,0
ct94,1,1,0
ft05,1,1,0
ft08,1,1,0
ct33,1,1,0
ct42,1,1,0
ct50,1,1,0
ct90,1,1,0
ct35x,1,1,0
ct73,1,1,0
hg47,1,1,0
ct1,1,1,0
ct40,1,1,0
ct45,1,1,0
ct49,1,1,0
ct58,1,1,0
ct65,1,1,0
ct8,1,1,0
ct27,1,1,0
ct27x,1,1,0
ct43,1,1,0
ct70,1,1,0
ct104,1,1,0
bs1,1,1,0
bs2,1,1,0
ct147,1,1,0
ct153,1,1,0
ct167,1,1,0
ft29,1,1,0
BM01,1,1,0
BM02,1,1,0
BM03,1,1,0
ct89,1,1,0
ct125,1,1,0
ct127,1,1,0
ct137,1,1,0
ct145,1,1,0
ft21,1,1,0
ft26,1,1,0
ct10,1,1,0
ct107,1,1,0
ct114,1,1,0
ct12,1,1,0
ct129,1,1,0
ct13,1,1,0
ct14,1,1,0
ct17,1,1,0
ct19,1,1,0
ct25,1,1,0
ct28,1,1,0
ct29,1,1,0
ct30,1,1,0
ct37,1,1,0
ct4,1,1,0
ct41,1,1,0
ct48,1,1,0
ct51,1,1,0
ct53,1,1,0
ct63,1,1,0
ct67,1,1,0
ct74,1,1,0
ct88,1,1,0
ct9,1,1,0
ft09,1,1,0
ct118,1,1,0
ct143,1,1,0
ct57,1,1,0
ct83,1,1,0
ct71,1,1,0
rs14,1,1,0
rs15,1,1,0
rs17,1,1,0
rs19,1,1,0
rs22,1,1,0
rs23,1,1,0
rs27,1,1,0
rs29,1,1,0
rs31,1,1,0
rs34,1,1,0
ct59,1,1,0
eb03,1,1,0
eb04,1,1,0
ct151,1,1,0
rs37,1,1,0
ft27,1,1,0
rs36,1,1,0
ct169,1,1,0
sk3,1,1,0
ct171,1,1,0
wd21,1,1,0
wd25,1,1,0
