platform_code,smru_platform_code,deployment_code,time_coverage_start,time_coverage_end,instr_id,ptt,wmo
10320,wd1-9497-06,wd1,2006-02-14T00:00:00Z,2006-11-01T00:00:00Z,9497,19251, 
10332,bs2-53130-05,bs2,2006-10-19T00:00:00Z,2007-05-01T00:00:00Z,10286,53130, 
10536,ct12-110-05,ct12,2005-06-29T00:00:00Z,2005-11-10T00:00:00Z,10110,23104, 
13956,ct31-448B_rec-07,ct31,2007-04-01T00:00:00Z,2007-07-01T00:00:00Z,10448,943850, 
13962,ct37-757-08,ct37,2008-01-25T00:00:00Z,2008-12-01T00:00:00Z,10757,22925,Q9900080
13968,ct37-780-08,ct37,2008-01-25T00:00:00Z,2008-12-01T00:00:00Z,10780,25966,Q9900083
13974,ct37-762-08,ct37,2008-01-25T00:00:00Z,2008-12-01T00:00:00Z,10762,24178,Q9900081
13986,ct41-794-08,ct41,2008-02-01T00:00:00Z,2009-04-01T00:00:00Z,10794,35684, 
13992,ct37-765-08,ct37,2008-01-25T00:00:00Z,2008-12-01T00:00:00Z,10765,28588,Q9900082
14004,ct41-756-08,ct41,2008-02-01T00:00:00Z,2009-04-01T00:00:00Z,10756,35682, 
14010,ct41-764-08,ct41,2008-02-01T00:00:00Z,2008-11-01T00:00:00Z,10764,35683, 
14016,ct41-795-08,ct41,2008-02-01T00:00:00Z,2008-07-01T00:00:00Z,10795,35690, 
6660,ct1-Blitzen-04,ct1,2004-01-29T00:00:00Z,2004-12-31T09:34:55Z,9904,22494, 
6666,ct1-Vixen-04,ct1,2004-01-29T00:00:00Z,2005-01-01T00:00:00Z,9913,20917, 
6672,ct1-Dasher-04,ct1,2004-01-29T00:00:00Z,2005-01-01T00:00:00Z,9914,20916, 
6684,ct1-Dancer-04,ct1,2004-01-29T00:00:00Z,2005-04-10T00:00:00Z,9911,2840, 
6690,ct1-Donner-04,ct1,2004-01-29T00:00:00Z,2005-04-10T00:00:00Z,9903,2442, 
10560,ct17-m110-06,ct17,2006-01-10T00:00:00Z,2006-07-01T00:00:00Z,10110,23104, 
10566,ct17-m098-06,ct17,2006-01-10T00:00:00Z,2006-06-01T00:00:00Z,10098,28592, 
10572,ct14-068-06,ct14,2006-01-10T00:00:00Z,2006-07-01T00:00:00Z,10068,28598, 
10578,ct14-106-06,ct14,2006-01-10T00:00:00Z,2006-07-01T00:00:00Z,10106,28594, 
10584,ct14-111-06,ct14,2006-01-10T00:00:00Z,2006-07-01T00:00:00Z,10111,28589, 
10602,ct14-118-06,ct14,2006-01-10T00:00:00Z,2006-07-01T00:00:00Z,10118,24177, 
10608,ct14-175-06,ct14,2006-01-10T00:00:00Z,2006-07-01T00:00:00Z,10175,24175, 
10620,ct16-174-06,ct16,2006-01-15T00:00:00Z,2006-07-01T00:00:00Z,10174,64318, 
10638,ct16-240-06,ct16,2006-01-15T00:00:00Z,2006-07-01T00:00:00Z,10240,64321, 
10644,ct16-241-06,ct16,2006-01-15T00:00:00Z,2006-07-01T00:00:00Z,10241,64322, 
10650,ct16-238-06,ct16,2006-01-15T00:00:00Z,2006-07-01T00:00:00Z,10238,64323, 
10740,ct8-Rudolph-05,ct8,2005-01-10T00:00:00Z,2006-02-01T00:00:00Z,10038,1549, 
14376,ct35-YY240-07,ct35,2007-10-26T00:00:00Z,2008-03-01T00:00:00Z,10498,60040, 
14388,ct38e-09-08,ct38e,2007-12-20T00:00:00Z,2008-10-01T00:00:00Z,10809,79678,Q9900087
14394,ct38e-11-08,ct38e,2007-12-20T00:00:00Z,2008-10-01T00:00:00Z,10811,79679,Q9900088
14412,ct38e-29-08,ct38e,2007-12-20T00:00:00Z,2008-10-01T00:00:00Z,10829,79682,Q9900090
14418,ct38e-26-08,ct38e,2007-12-20T00:00:00Z,2008-10-01T00:00:00Z,10826,79683,Q9900089
14424,ct38w-QueenEliz-08,ct38w,2008-02-21T00:00:00Z,2009-01-01T00:00:00Z,10832,79685,Q9900098
