smru_platform_code,index_1,index_2,index_3,index_4,offset_1,offset_2,offset_3,offset_4
ct84-533-12,1,200,288,0,0.1,0.1,0,0
ct8-Undine-05,1,220,221,0,0,0,0.2,0.2
ct8-28494-05,1,175,176,0,0,0,-0.15,-0.15
ct64-M036-09,1,180,181,0,0,0,-0.15,-0.15
ct37-762-08,1,100,200,0,0.09,0.09,0,0
ct35x-WW005-08,1,35,135,0,0,-0.25,-0.25,0
ct3-9938-04,1,150,0,0,-0.04,-0.04,-0.24,0
ct23x-536-08,1,250,0,0,0,0,0.5,0
ct166-CT477-21,1,199,200,0,0,0,-0.2,-0.2
ct166-CT478-21,1,199,200,0,0,0,-0.18,0
ct164-F513-21,1,199,200,0,0,0,1.35,1.35
ct164-F468-21,1,585,586,0,0,0,0,-0.2
ct164-492-21,1,399,400,0,0,0,-0.2,-0.2
ct164-490-21,1,199,200,0,0.075,0,-0.2,-0.3
ct164-483-21,1,199,200,0,0,0.1,-0.15,0
ct164-217-BAT-20,1,199,399,0,-0.1,-0.1,-0.22,0
ct164-492-21,1,399,400,0,0,0,0.07,0
ct164-508-21,1,199,200,0,0.1,0,0,0
ct161-198-BAT-19,1,199,200,0,-0.15,-0.15,0,0
ct149-928-18,1,421,422,0,0,0,-0.25,-0.25
ct149-927-18,1,385,386,0,0,0,-0.2,-0.2
ct149-926-18,1,448,449,0,0,0,-0.15,-0.15
ct148-936-18,1,529,530,0,0,0,-0.32,-0.32
ct104-WF858-13,1,589,590,0,0,0,0,-0.25
ct104-EF838-13,1,1138,1139,0,0,0,-0.05,-0.05
bv3-240-14,1,0,0,0,-0.1,0.05,0,0
ct164-463-21,1,199,200,0,0,0,0.05,-0.05
ct104-EM889-13,1,199,200,0,0,0,-0.05,-0.05
ct104-EM961-13,1,595,596,0,0,0,-0.1,-0.1
ct104-EF960-13,1,192,193,0,0,0,0.03,0.03
ct104-WF896-13,1,764,765,0,0,0,0,-0.1
ct134-277-14,1,199,200,0,0,0,-0.025,-0.025
ct134-304-14,1,398,399,0,0,0,-0.04,-0.04
ft23-C899-18,1,199,200,0,0.04,0.04,0,0
ct168-873-BAT3-19,1,199,200,0,-0.075,-0.075,0,0
ft33-469-22,1,199,200,0,0,-0.04,-0.04,-0.19
ft33-752-22,1,395,369,0,0,0,-0.15,-0.15
ct160-266-20-N1,1,801,802,0,0,0,-0.02,-0.8
ct160-268-20-N1,1,399,400,0,0,0,-0.035,-0.0375
ct160-305-20-N1,1,199,200,0,0.125,0,0,0
ct160-306-20-N1,1,199,200,0,0,0,-0.15,-0.25
ct160-306-20-N2,1,199,200,0,0,-0.05,0,0
ct160-308-20-N1,1,599,600,0,0,0,0,0
ct160-310-20-N1,1,601,602,0,0,0,-0.05,-0.048
ct160-312-20,1,799,800,0,0,0,-0.021,-0.05
ct160-314-20-N1,1,399,400,0,0,-0.02,-0.025,-0.025
ct160-314-20-N2,1,199,200,0,0,-0.046,-0.046,-0.12
ct160-338-20-N1,1,199,200,0,0,0,-0.03,-0.05
ct160-342-20,1,199,200,0,0,0,-0.08,-0.08
ct157-C201-20-N1,1,399,400,0,0.15,0.02,0.01,0
ct157-C202-20,1,399,400,0,0.1,-0.05,-0.03,-0.03
ct157-C211-20,1,399,400,0,0.04,-0.25,-0.1,0
ct157-C213-20,1,199,200,0,0,0,-0.07,-0.05
ct157-C219-20,1,199,200,0,0,0,-0.015,-0.035
ct170-652-22,1,399,400,0,0,0,0,-0.12
ct170-649-I2C-22,1,399,400,0,0,0,-0.115,-0.24
ct170-649-I2C-22,1,599,600,0,0,0,0.14,0.14
ct170-709-22,1,391,392,0,0,0,-0.1,-0.15
ct170-710-22,1,199,200,0,0,0,0,-0.08
ct170-712-22,1,199,200,0,0,0,0,-0.25
ct170-737-22,1,399,400,0,0,0,-0.15,-0.126
ct170-745-22,1,398,399,0,0,0,-0.07,-0.07
ct175-F777-22,1,194,195,0,0,0,-0.02,-0.02
ct175-Ox-828-23,1,199,200,0,0,0,-0.07,-0.07
ft33-787-22,1,199,200,0,0,0,-0.04,-0.04
ct176-07-23,1,199,200,0,0,0,-0.09,-0.09
ct176-08-23,1,199,200,0,0,0,0.1,0.1
ft34-814-22,1,399,400,0,0,0,-0.012,-0.012
ft34-818-22,1,199,200,0,0,0,0.02,0.02
ft34-760-22,1,199,200,0,0,0,-0.05,-0.1
ft34-820-22,1,199,200,0,0,0,-0.01,-0.01
ft34-821-22,1,199,200,0,0,0,-0.05,-0.07
ft34-822-22,1,54,55,0,0,0,-0.1,-0.17
ct141-645SM-17,1,399,400,0,0,0,-0.045,-0.045
ct141-668AF-17,1,399,400,0,0,0,-0.035,-0.05
ct141-672AF-17,1,199,200,0,0,0,0,-0.08
ct141-665AF-17,1,599,600,0,0,0,0,-0.08
ct141-673AF-17,1,199,200,0,0,0,-0.04,-0.04
ct147-863-18,1,691,692,0,0,0,-0.08,-0.08
