smru_platform_name,Sonly,filter,x1,x2
awru1,0,lat_min,-20,NaN
BM02-01-17,0,date_min,0,NaN
BM02-03-17,0,date_min,0,NaN
BM02-05-17,0,date_min,0,NaN
BM02-06-17,0,date_min,0,NaN
bv3-242-14,0,P+T-,400,-0.5
ct1-Dasher-04,0,P-S+,20,34.5
ct1-Donner-04,0,date_max,60,NaN
ct10-24176-05,0,Smax,36,NaN
ct100-251-13,0,P-T-,100,7
ct100-264-13,0,P-T-,100,7.2
ct104,0,lat_min,-20,NaN
ct104-EF960-13,0,date_max,100,NaN
ct104-EM959-13,0,P-S+,40,34.15
ct104-EM959-13,0,P+S-,200,33
ct105-15f-13,0,index,338,NaN
ct106-796-13,0,date_max,150,NaN
ct106-796-13,0,Smin,35.1,NaN
ct107-933-13,0,date_min,0,NaN
ct107-933b-13,0,date_min,0,NaN
ct107-934-13-N1,0,date_min,0,NaN
ct107-934-13-N1,0,Smin,30,NaN
ct107-934-13-N2,0,date_min,0,NaN
ct107-938-13-N1,0,date_min,0,NaN
ct107-938-13-N2,1,date_max,100,NaN
ct107-940-13,0,date_min,0,NaN
ct107-941-13-N1,0,date_min,0,NaN
ct107-941-13-N2,1,date_max,30,NaN
ct107-947-13-N1,0,date_min,0,NaN
ct107-947-13-N2,0,date_min,0,NaN
ct107-950-13-N1,0,date_min,0,NaN
ct107-950-13-N2,1,date_max,50,NaN
ct107-951-13-N1,0,date_min,0,NaN
ct107-951-13-N2,0,date_min,0,NaN
ct107-952-13-N1,0,date_min,0,NaN
ct107-952-13-N2,0,date_min,0,NaN
ct107-953-13-N1,0,date_min,0,NaN
ct107-953-13-N2,1,date_max,70,NaN
ct107-F945-13,0,date_min,0,NaN
ct107-F946-13-N1,0,date_min,0,NaN
ct107-F946-13-N2,0,date_min,0,NaN
ct107-F954-14,0,date_min,0,NaN
ct107-F995-14,0,date_min,0,NaN
ct108-564-13,1,date_max,80,NaN
ct109-032-14,1,Smin,33.5,NaN
ct109-188-14,1,date_max,50,NaN
ct109-191-14,1,date_max,158,NaN
ct109-965-14,0,Tmax,10,NaN
ct109-973-14,0,Tmax,10,NaN
