smru_platform_code,location,reference_doi,species
DL02-C400-16,,,Grey seal
DL02-C401-16,,,Grey seal
awru1-A-06,Davis,,Weddell seal
awru1-B-06,Davis,,Weddell seal
awru1-C-06,Davis,,Weddell seal
ct10-22925-05,California,,
ct10-23104-05,California,,
ct10-24176-05,California,,
ct10-24178-05,California,,
ct10-26341-05,California,,
ct10-28592-05,California,,
ct100-251-13,Campbell,,Southern ellie
ct100-263-13,Campbell,,Southern ellie
ct100-264-13,Campbell,,Southern ellie
ct100-298-13,Campbell,,Southern ellie
ct100-301-13,Campbell,,Southern ellie
ct101-303-12,South Australia,,Fur seal
ct101-330-12,South Australia,,Fur seal
ct101-416-12,South Australia,,Fur seal
ct101-416-rebatt-12,South Australia,,Fur seal
ct101-701-13,South Australia,,Fur seal
ct101-703-13,South Australia,,Fur seal
ct101-704-13,South Australia,,Fur seal
ct101-790-13,South Australia,,Fur seal
ct101-791-13,South Australia,,Fur seal
ct101-792-13,South Australia,,Fur seal
ct101-793-13,South Australia,,Fur seal
ct101-794-13,South Australia,,Fur seal
ct101-795-13,South Australia,,Fur seal
ct102-12190-12,King George Is. Antarctica,10.1594/PANGAEA.833564,
ct102-12782-13,King George Is. Antarctica,10.1594/PANGAEA.833558,
ct102-12787-13,King George Is. Antarctica,10.1594/PANGAEA.833562,
ct102-12797-13,King George Is. Antarctica,10.1594/PANGAEA.833563,
ct102-12798-13,King George Is. Antarctica,10.1594/PANGAEA.833561,
ct102-12799-13,King George Is. Antarctica,10.1594/PANGAEA.833560,
ct102-OO052-11,King George Is. Antarctica,10.1594/PANGAEA.833559,
ct106-175-12,South Australia,,Sea lion
ct106-614-12,South Australia,,Sea lion
ct106-628_rebat-14,South Australia,,Sea lion
ct106-629_2-12,South Australia,,Sea lion
ct106-633_rebat-14,Australia. Pearson Island,,Sea lion
ct106-705-13,South Australia,,Fur seal
ct106-796-13,South Australia,,Fur seal
ct107-933-13,Ano Nuevo.California,,
ct107-934-13-N1,Ano Nuevo.California,,
ct107-934-13-N2,Ano Nuevo.California,,
ct107-938-13-N1,Ano Nuevo.California,,
ct107-938-13-N2,Ano Nuevo.California,,
ct107-940-13,Ano Nuevo.California,,
ct107-941-13-N1,Ano Nuevo.California,,
ct107-941-13-N2,Ano Nuevo.California,,
ct107-947-13-N1,Ano Nuevo.California,,
ct107-947-13-N2,Ano Nuevo.California,,
ct107-950-13-N1,Ano Nuevo.California,,
ct107-950-13-N2,Ano Nuevo.California,,
ct107-951-13-N1,Ano Nuevo.California,,
ct107-951-13-N2,Ano Nuevo.California,,
ct107-952-13-N1,Ano Nuevo.California,,
ct107-952-13-N2,Ano Nuevo.California,,
ct107-953-13-N1,Ano Nuevo.California,,
ct107-953-13-N2,Ano Nuevo.California,,
ct107-F946-13-N1,Ano Nuevo.California,,
ct107-F946-13-N2,Ano Nuevo.California,,
ct107-F954-14,Ano Nuevo.California,,
ct107-F995-14,Ano Nuevo.California,,
ct108-297-13,Campbell,,Southern ellie
ct108-300-13,Campbell,,Southern ellie
ct108-554-13,Campbell,,Southern ellie
ct108-564-13,Campbell,,Southern ellie
ct108-569-13,Campbell,,Southern ellie
ct108-622-13,Campbell,,Southern ellie
ct108-632-13,Campbell,,Southern ellie
ct108-663-13,Campbell,,Southern ellie
ct109-031-14,Kerguelen,,Southern ellie
ct109-032-14,Kerguelen,,Southern ellie
ct109-085-14,Kerguelen,,Southern ellie
ct109-184-14,Kerguelen,,Southern ellie
ct109-186-14,Kerguelen,,Southern ellie
ct109-187-14,Kerguelen,,Southern ellie
ct109-188-14,Kerguelen,,Southern ellie
ct109-190-14,Kerguelen,,Southern ellie
ct109-191-14,Kerguelen,,Southern ellie
ct109-937-14,Kerguelen,,Southern ellie
ct109-939-14,Kerguelen,,Southern ellie
