deployment_code,temp_error,psal_error,minT,maxT,minS,maxS,min_Nprof,pmax,pmax_fluo,is_lon_center_180
BM01,0.1,0.2,-3,32,4,40,30,NaN,NaN,NaN
BM02,0.1,0.2,-3,32,4,40,30,NaN,NaN,NaN
BM03,0.1,0.2,-3,32,4,40,30,NaN,NaN,NaN
DL02,0.1,0.2,-3,32,4,40,30,NaN,NaN,NaN
MY01,0.1,0.2,-3,32,4,40,30,NaN,NaN,NaN
awru1,0.2,0.2,-3,32,4,40,30,NaN,NaN,NaN
bs1,0.1,0.2,-3,32,4,40,30,NaN,NaN,NaN
bs2,0.1,0.2,-3,32,4,40,30,NaN,NaN,NaN
bv3,0.1,0.1,-3,32,4,40,30,NaN,NaN,NaN
ct1,0.2,0.2,-3,32,4,40,30,NaN,NaN,NaN
ct10,0.1,0.2,-2.5,20,25,40,30,NaN,NaN,NaN
ct100,0.1,0.1,-3,32,4,40,30,NaN,NaN,NaN
ct101,0.1,0.2,-3,32,4,40,30,500,200,0
ct102,0.05,0.05,-3,32,4,40,30,NaN,NaN,NaN
ct103,0.1,0.2,-3,32,4,40,30,NaN,NaN,NaN
ct104,0.05,0.05,-3,32,4,40,30,NaN,NaN,NaN
ct105,0.05,0.05,-3,32,4,40,30,NaN,NaN,NaN
ct106,0.1,0.1,-3,32,4,40,30,400,200,0
ct107,0.05,0.05,-3,32,4,40,30,NaN,NaN,NaN
ct108,0.05,0.05,-3,32,4,40,30,NaN,NaN,NaN
ct109,0.05,0.05,-3,32,4,40,30,NaN,NaN,NaN
ct11,0.2,0.2,-3,32,4,40,30,NaN,NaN,NaN
ct110,0.1,0.2,-3,32,4,40,30,500,200,0
ct111,0.05,0.2,-3,32,4,40,30,NaN,NaN,NaN
ct112,0.05,0.05,-3,32,4,40,30,NaN,NaN,NaN
ct113,0.03,0.1,-3,32,4,40,30,NaN,NaN,NaN
ct114,0.05,0.1,-3,32,4,40,30,NaN,NaN,NaN
ct115,0.1,0.1,-3,32,4,40,30,200,200,0
ct116,0.05,0.05,-3,32,4,40,30,NaN,NaN,NaN
ct117,0.05,0.05,-3,32,4,40,30,NaN,NaN,NaN
ct118,0.1,0.1,-3,32,4,40,30,NaN,NaN,NaN
ct119,0.05,0.1,-3,32,4,40,30,NaN,NaN,NaN
ct12,0.1,0.2,-2.5,20,25,40,30,NaN,NaN,NaN
ct120,0.05,0.05,-3,32,4,40,30,NaN,NaN,NaN
ct121,0.05,0.05,-3,32,4,40,30,NaN,NaN,NaN
ct122,0.05,0.05,-3,32,4,40,30,NaN,NaN,NaN
ct123,0.1,0.2,-3,32,4,40,30,400,200,0
ct125,0.1,0.1,-3,32,4,40,30,NaN,NaN,NaN
ct126,0.1,0.1,-3,32,4,40,30,NaN,NaN,NaN
ct127,0.1,0.2,-3,32,4,40,30,NaN,NaN,NaN
ct128,0.1,0.2,-3,32,4,40,30,NaN,NaN,NaN
ct128a,0.1,0.2,-3,32,4,40,30,NaN,NaN,NaN
ct129,0.1,0.2,-3,32,4,40,30,NaN,NaN,NaN
ct13,0.1,0.2,-2.5,20,25,40,30,NaN,NaN,NaN
ct130,0.1,0.2,-3,32,4,40,30,NaN,NaN,NaN
ct131,0.05,0.05,-3,32,4,40,30,NaN,NaN,NaN
ct132,0.05,0.05,-3,32,4,40,30,NaN,NaN,NaN
ct133,0.05,0.05,-3,32,4,40,30,NaN,NaN,NaN
ct134,0.05,0.05,-3,32,4,40,30,NaN,NaN,NaN
ct135,0.05,0.05,-3,32,4,40,30,NaN,NaN,NaN
ct136,0.1,0.2,-3,32,4,40,30,400,200,0
ct137,0.1,0.1,-3,32,4,40,30,NaN,NaN,NaN
ct138,0.1,0.2,-3,32,4,40,30,NaN,NaN,NaN
ct139,0.05,0.05,-3,32,4,40,30,NaN,NaN,NaN
ct14,0.2,0.2,-3,32,4,40,30,NaN,NaN,NaN
ct140,0.1,0.2,-3,32,4,40,30,NaN,NaN,NaN
ct141,0.1,0.2,-3,32,4,40,30,NaN,NaN,NaN
ct142,0.1,0.2,-3,32,4,40,30,NaN,NaN,NaN
ct143,0.1,0.2,-3,32,4,40,30,NaN,NaN,NaN
ct144,0.1,0.2,-3,32,4,40,30,NaN,NaN,NaN
ct145,0.1,0.2,-3,32,4,40,30,NaN,NaN,NaN
ct146,0.1,0.2,-3,32,4,40,30,NaN,NaN,NaN
ct147,0.1,0.2,-3,32,4,40,30,NaN,NaN,NaN
ct148,0.1,0.2,-3,32,4,40,30,NaN,NaN,NaN
ct149,0.1,0.2,-3,32,4,40,30,NaN,NaN,NaN
ct15,0.05,0.2,-2.5,20,25,40,30,NaN,NaN,NaN
ct150,0.1,0.2,-3,32,4,40,30,NaN,NaN,NaN
ct16,0.1,0.2,-3,8,4,40,30,NaN,NaN,NaN
ct17,0.1,0.2,-2.5,20,25,40,30,NaN,NaN,NaN
ct18,0.05,0.05,-3,32,4,40,30,1000,200,0
ct19,0.1,0.2,-2.5,20,25,40,30,NaN,NaN,NaN
ct2,0.2,0.2,-3,32,4,40,30,NaN,NaN,NaN
ct20,0.05,0.05,-3,32,4,40,30,200,200,0
ct21,0.05,0.05,-3,15,4,40,30,NaN,NaN,NaN
ct22,0.1,0.05,-3,32,4,40,30,NaN,NaN,NaN
ct23,0.05,0.05,-3,32,4,40,30,NaN,NaN,NaN
ct23x,0.05,0.05,-3,32,4,40,30,NaN,NaN,NaN
ct25,0.05,0.05,-3,15,4,40,30,NaN,NaN,NaN
ct26,0.05,0.05,-3,32,4,40,30,NaN,NaN,NaN
ct27,0.05,0.1,-3,32,4,40,30,NaN,NaN,NaN
ct27x,0.05,0.05,-3,32,4,40,30,NaN,NaN,NaN
ct28,0.1,0.1,-2.5,20,25,40,30,NaN,NaN,NaN
ct29,0.05,0.05,-3,32,4,40,30,NaN,NaN,NaN
ct3,0.2,0.2,-3,8,4,40,30,NaN,NaN,NaN
ct30,0.1,0.2,-2.5,20,25,40,30,NaN,NaN,NaN
ct31,0.1,0.2,-3,32,4,40,30,400,200,0
ct32,0.05,0.05,-3,32,4,40,30,200,200,0
ct32x,0.05,0.05,-3,32,4,40,30,200,200,0
ct33,0.05,0.05,-3,32,4,40,30,NaN,NaN,NaN
ct34,0.05,0.05,-3,32,4,40,30,NaN,NaN,NaN
ct35,0.05,0.1,-3,32,4,40,30,NaN,NaN,NaN
ct35b,0.05,0.1,-3,32,4,40,30,NaN,NaN,NaN
ct35x,0.05,0.05,-3,32,4,40,30,NaN,NaN,NaN
ct36,0.05,0.05,-3,32,4,40,30,NaN,NaN,NaN
ct37,0.05,0.05,-3,32,4,40,30,NaN,NaN,NaN
ct38e,0.05,0.05,-3,32,4,40,30,NaN,NaN,NaN
ct38w,0.1,0.2,-3,32,4,40,30,NaN,NaN,NaN
ct39,0.05,0.05,-3,32,4,40,30,NaN,NaN,NaN
ct4,0.05,0.2,-3,32,4,40,30,NaN,NaN,NaN
ct40,0.05,0.1,-3,32,4,40,30,NaN,NaN,NaN
ct41,0.05,0.1,-2.5,20,25,40,30,NaN,NaN,NaN
ct42,0.05,0.05,-3,32,4,40,30,NaN,NaN,NaN
ct43,0.05,0.1,-3,32,4,40,30,NaN,NaN,NaN
ct44,0.1,0.2,-3,32,4,40,30,NaN,NaN,NaN
ct45,0.05,0.05,-3,32,4,40,30,NaN,NaN,NaN
ct46,0.05,0.05,-3,32,4,40,30,NaN,NaN,NaN
ct47,0.1,0.2,-3,32,4,40,30,NaN,NaN,NaN
ct48,0.05,0.05,-3,15,4,40,30,NaN,NaN,NaN
ct49,0.05,0.05,-3,32,4,40,30,NaN,NaN,NaN
ct50,0.05,0.05,-3,32,4,40,30,NaN,NaN,NaN
ct51,0.05,0.1,-2.5,20,25,40,30,NaN,NaN,NaN
ct52,0.1,0.1,-3,32,4,40,30,200,200,0
ct53,0.05,0.1,-2.5,20,25,40,30,NaN,NaN,NaN
ct54,0.05,0.05,-3,32,4,40,30,NaN,NaN,NaN
ct55,0.05,0.05,-3,32,4,40,30,200,200,0
ct56,0.05,0.05,-3,32,4,40,30,NaN,NaN,NaN
ct57,0.1,0.1,-3,32,4,40,30,NaN,NaN,NaN
ct58,0.05,0.05,-3,32,4,40,30,NaN,NaN,NaN
ct59,0.05,0.1,-2.5,20,25,40,30,NaN,NaN,NaN
ct6,0.2,0.2,-3,32,4,40,30,NaN,NaN,NaN
ct61,0.1,0.2,-3,32,4,40,30,400,200,0
ct62,0.05,0.05,-3,32,4,40,30,NaN,NaN,NaN
ct63,0.05,0.05,-3,32,4,40,30,1000,200,1
ct64,0.05,0.05,-3,32,4,40,30,NaN,NaN,NaN
ct65,0.05,0.05,-3,32,4,40,30,NaN,NaN,NaN
ct67,0.05,0.1,-2.5,20,25,40,30,NaN,NaN,NaN
ct68,0.05,0.05,-3,10,4,40,30,NaN,NaN,NaN
ct69,0.1,0.2,-3,32,4,40,30,500,200,0
ct7,0.2,0.2,-3,32,4,40,30,NaN,NaN,NaN
ct70,0.05,0.1,-3,32,4,40,30,NaN,NaN,NaN
ct71,0.1,0.2,-3,32,4,40,30,400,200,1
ct73,0.05,0.05,-3,32,4,40,30,NaN,NaN,NaN
ct74,0.05,0.05,-3,32,4,40,30,1000,200,1
ct75,0.05,0.2,-3,32,4,40,30,NaN,NaN,NaN
ct76,0.1,0.2,-3,32,4,40,30,200,200,0
ct77,0.05,0.05,-3,32,4,40,30,NaN,NaN,NaN
ct78,0.05,0.05,-3,32,4,40,30,NaN,NaN,NaN
ct78d,0.05,0.05,-3,32,4,40,30,NaN,NaN,NaN
ct79,0.05,0.05,-3,32,4,40,30,NaN,NaN,NaN
