smru_platform_code,index_1,index_2,index_3,index_4,offset_1,offset_2,offset_3,offset_4
ct84-533-12,1,200,288,0,0.1,0.1,0,0
ct8-Undine-05,1,220,221,0,0,0,0.2,0.2
ct8-28494-05,1,175,176,0,0,0,-0.15,-0.15
ct64-M036-09,1,180,181,0,0,0,-0.15,-0.15
ct37-762-08,1,100,200,0,0.09,0.09,0,0
ct35x-WW005-08,1,35,135,0,0,-0.25,-0.25,0
ct3-9938-04,1,150,0,0,-0.04,-0.04,-0.24,0
ct23x-536-08,1,250,0,0,0,0,0.5,0
ct166-CT477-21,1,199,200,0,0,0,-0.2,-0.2
ct166-CT478-21,1,199,200,0,0,0,-0.18,0
ct164-F513-21,1,199,200,0,0,0,1.35,1.35
ct164-F468-21,1,585,586,0,0,0,0,-0.2
ct164-492-21,1,399,400,0,0,0,-0.2,-0.2
ct164-490-21,1,199,200,0,0.075,0,-0.2,-0.3
ct164-483-21,1,199,200,0,0,0.1,-0.15,0
ct164-217-BAT-20,1,199,399,0,-0.1,-0.1,-0.22,0
ct164-492-21,1,399,400,0,0,0,0.07,0
ct164-508-21,1,199,200,0,0.1,0,0,0
ct161-198-BAT-19,1,199,200,0,-0.15,-0.15,0,0
ct149-928-18,1,421,422,0,0,0,-0.25,-0.25
ct149-927-18,1,385,386,0,0,0,-0.2,-0.2
ct149-926-18,1,448,449,0,0,0,-0.15,-0.15
ct148-936-18,1,529,530,0,0,0,-0.32,-0.32
ct104-WF858-13,1,589,590,0,0,0,0,-0.25
ct104-EF838-13,1,1138,1139,0,0,0,-0.05,-0.05
bv3-240-14,1,0,0,0,-0.1,0.05,0,0
ct160-268-20,1,199,200,0,0.005,-0.025,-0.025,-0.025
ct160-305-20,1,199,200,0,0.15,0.15,0,0
ct160-308-20,1,399,400,0,0,0.015,0.008,0.008
ct160-310-20,1,199,200,0,0,-0.025,-0.05,0
ct160-312-20,1,398,399,0.05,0.05,0,0,
ct160-313-20,1,199,200,0,0.075,0.035,0.015,0
ct160-332-20,1,399,400,0,0,0,-0.025,-0.025
ct160-338-20,1,399,400,0,0,-0.03,-0.03,-0.025
ct160-315-20,1,799,800,0,0,0.07,0.08,0.05
ct160-341-20,1,199,200,0,0.05,0,0,0
ct160-342-20,1,199,200,0,0,0,-0.05,-0.05
ct164-463-21,1,199,200,0,0,0,0.05,-0.05
ct104-EM889-13,1,199,200,0,0,0,-0.05,-0.05
ct104-EM961-13,1,595,596,0,0,0,-0.1,-0.1
ct104-EF960-13,1,192,193,0,0,0,0.03,0.03
ct104-WF896-13,1,764,765,0,0,0,0,-0.1
ct134-277-14,1,199,200,0,0,0,-0.025,-0.025
ct134-304-14,1,398,399,0,0,0,-0.04,-0.04
ft23-C899-18,1,199,200,0,0.04,0.04,0,0
ct168-873-BAT3-19,1,199,200,0,-0.075,-0.075,0,0
,,,,,,,,
